sentence_id,__TAGS,GT,date,location,rating,review_id,review_title,role,span_text,status,Classification,Confidence,ASPECT,OPINION,HUMAN_SENTIMENT
1,,Work Life Balance,9/25/2019,Ohio,2,1234,Stressful and completely overused,Teller Supervisor,"I literally go home and have nightmares over my workplace environment- not reaching my goals, work being left out, upper management.",Former Employee,Negative,0.841,work,left work,
1,,Work Life Balance,9/25/2019,Ohio,2,1234,Stressful and completely overused,Teller Supervisor,"I literally go home and have nightmares over my workplace environment- not reaching my goals, work being left out, upper management.",Former Employee,Negative,0.841,goal,,
1,,Work Life Balance,9/25/2019,Ohio,2,1234,Stressful and completely overused,Teller Supervisor,"I literally go home and have nightmares over my workplace environment- not reaching my goals, work being left out, upper management.",Former Employee,Negative,0.841,upper management,,
1,,Work Life Balance,9/25/2019,Ohio,2,1234,Stressful and completely overused,Teller Supervisor,"I literally go home and have nightmares over my workplace environment- not reaching my goals, work being left out, upper management.",Former Employee,Negative,0.841,nightmare,,
1,,Work Life Balance,9/25/2019,Ohio,2,1234,Stressful and completely overused,Teller Supervisor,"I literally go home and have nightmares over my workplace environment- not reaching my goals, work being left out, upper management.",Former Employee,Negative,0.841,workplace,,
2,,Work Life Balance,9/25/2019,Ohio,2,1234,Stressful and completely overused,Teller Supervisor,"this place has affected my personal mental health more than I care to admit, as I know it has done to others, the evidence is all in the incredibly high turnover rate.",Former Employee,Negative,0.71,place,,
2,,Work Life Balance,9/25/2019,Ohio,2,1234,Stressful and completely overused,Teller Supervisor,"this place has affected my personal mental health more than I care to admit, as I know it has done to others, the evidence is all in the incredibly high turnover rate.",Former Employee,Negative,0.71,high turnover rate,,
2,,Work Life Balance,9/25/2019,Ohio,2,1234,Stressful and completely overused,Teller Supervisor,"this place has affected my personal mental health more than I care to admit, as I know it has done to others, the evidence is all in the incredibly high turnover rate.",Former Employee,Negative,0.71,personal mental health,,
2,,Work Life Balance,9/25/2019,Ohio,2,1234,Stressful and completely overused,Teller Supervisor,"this place has affected my personal mental health more than I care to admit, as I know it has done to others, the evidence is all in the incredibly high turnover rate.",Former Employee,Negative,0.71,evidence,,
3,multi-label|benefits,Work Life Balance,9/25/2019,Ohio,2,1234,Stressful and completely overused,Teller Supervisor,"Paid time off is great, hours are pretty nice, the consistency of the hours is perfect.",Former Employee,Positive,0.993,paid time,pretty nice hour,
3,multi-label|benefits,Work Life Balance,9/25/2019,,2,1234,Stressful and completely overused,Teller Supervisor,"Paid time off is great, hours are pretty nice, the consistency of the hours is perfect.",Former Employee,Positive,0.993,consistency,perfect hour,
4,,Work Life Balance,12/14/2021,"Pittsburgh, PA",5,193,"Great company, excellent benefits, pay could be a little higher",Software Developer,But may be worth it for the decent work life balance.,Current Employee,Positive,0.897,work life balance,decent work life balance,
5,,Work Life Balance,8/28/2019,"Rocky Mount, NC",1,1314,Horrible,III,Work life balance there is none.,Current Employee,Neutral,0.441,work life balance,,Negative
6,,Work Life Balance,7/10/2019,1 financial parkway building B,4,1449,Loved this place,Reimbursement Specialist,Very accommodating to college students.,Former Employee,Positive,0.989,college student,,
7,,Work Life Balance,5/28/2019,Pittsburgh,2,1540,Work environment has changed,General staff,"Flexible work time was removed last year, now the best employees are leaving. ",Current Employee,Positive,0.731,employee,flexible work time,Negative
7,,Work Life Balance,5/28/2019,Pittsburgh,2,1540,Work environment has changed,General staff,"Flexible work time was removed last year, now the best employees are leaving. ",Current Employee,Positive,0.731,last year,removed last year,Negative
7,,Work Life Balance,5/28/2019,Pittsburgh,2,1540,Work environment has changed,General staff,"Flexible work time was removed last year, now the best employees are leaving. ",Current Employee,Positive,0.731,work time,removed work time,Negative
8,multi-label,Work Life Balance,5/23/2019,"Whippany, NJ",1,1547,Branch Management,Branch Manager,Extensive overtime with poor support from higher management. ,Former Employee,Negative,0.945,extensive overtime,poor support,
8,multi-label,Work Life Balance,5/23/2019,"Whippany, NJ",1,1547,Branch Management,Branch Manager,Extensive overtime with poor support from higher management. ,Former Employee,Negative,0.945,higher management,,
8,multi-label,Work Life Balance,5/23/2019,"Whippany, NJ",1,1547,Branch Management,Branch Manager,Extensive overtime with poor support from higher management. ,Former Employee,Negative,0.945,support,,
9,multi-label|benefits|socialization,Work Life Balance,5/19/2019,"Peoria, IL",5,1566,this place is the best,Service Representative,"With over 6 weeks of parental leave, and a constant focus on the employees, i would highly recommend this place.",Former Employee,Positive,0.989,place,,
9,multi-label|benefits|socialization,Work Life Balance,5/19/2019,"Peoria, IL",5,1566,this place is the best,Service Representative,"With over 6 weeks of parental leave, and a constant focus on the employees, i would highly recommend this place.",Former Employee,Positive,0.989,employee,,
9,multi-label|benefits|socialization,Work Life Balance,5/19/2019,"Peoria, IL",5,1566,this place is the best,Service Representative,"With over 6 weeks of parental leave, and a constant focus on the employees, i would highly recommend this place.",Former Employee,Positive,0.989,parental leave,,
9,multi-label|benefits|socialization,Work Life Balance,5/19/2019,"Peoria, IL",5,1566,this place is the best,Service Representative,"With over 6 weeks of parental leave, and a constant focus on the employees, i would highly recommend this place.",Former Employee,Positive,0.989,constant focus,,
10,multi-label,Work Life Balance,4/23/2019,"Cleveland, OH",2,1616,"Tactical, next flashy thing management style",Operations Specialist,Management speaks of work/life balance as something that will come in the years to come if we work hard today.,Current Employee,Neutral,0.574,life balance,,Negative
10,multi-label,Work Life Balance,4/23/2019,"Cleveland, OH",2,1616,"Tactical, next flashy thing management style",Operations Specialist,Management speaks of work/life balance as something that will come in the years to come if we work hard today.,Current Employee,Neutral,0.574,work,,Negative
