review_id,role,status,location,date,rating,combined_text,sentences,sentiment,sentence_id
1,Branch Sales and Service Associate II,Current Employee,"Ann Arbor, MI",03/27/2019,4.0,"Great place to work for most. I have really enjoyed working here, the only issue is in career advancement. There are some traditional routes that work for some, but anything outside the norm is extremely difficult no matter what level of performance or participation you have.",Great place to work for most.,"{'label': 'POSITIVE', 'score': 0.9998772144317627}",0
1,Branch Sales and Service Associate II,Current Employee,"Ann Arbor, MI",03/27/2019,4.0,"Great place to work for most. I have really enjoyed working here, the only issue is in career advancement. There are some traditional routes that work for some, but anything outside the norm is extremely difficult no matter what level of performance or participation you have.","I have really enjoyed working here, the only issue is in career advancement.","{'label': 'POSITIVE', 'score': 0.9765574336051941}",1
1,Branch Sales and Service Associate II,Current Employee,"Ann Arbor, MI",03/27/2019,4.0,"Great place to work for most. I have really enjoyed working here, the only issue is in career advancement. There are some traditional routes that work for some, but anything outside the norm is extremely difficult no matter what level of performance or participation you have.","There are some traditional routes that work for some, but anything outside the norm is extremely difficult no matter what level of performance or participation you have.","{'label': 'NEGATIVE', 'score': 0.9940586090087891}",2
2,Cook,Current Employee,"San Antonio, TX",06/02/2022,3.0,"It's a job. You go in five days a week do what you need to then leave, the employees are jerks, and the manager does nothing to keep them from being one. If the employees were more respectful it would be a decent place to work.",It's a job.,"{'label': 'POSITIVE', 'score': 0.9996998310089111}",3
2,Cook,Current Employee,"San Antonio, TX",06/02/2022,3.0,"It's a job. You go in five days a week do what you need to then leave, the employees are jerks, and the manager does nothing to keep them from being one. If the employees were more respectful it would be a decent place to work.","You go in five days a week do what you need to then leave, the employees are jerks, and the manager does nothing to keep the employees from being one.","{'label': 'NEGATIVE', 'score': 0.9994992017745972}",4
2,Cook,Current Employee,"San Antonio, TX",06/02/2022,3.0,"It's a job. You go in five days a week do what you need to then leave, the employees are jerks, and the manager does nothing to keep them from being one. If the employees were more respectful it would be a decent place to work.",If the employees were more respectful it would be a decent place to work.,"{'label': 'NEGATIVE', 'score': 0.9966024160385132}",5
3,Branch Manager,Former Employee,Florida,06/01/2022,2.0,"Stressful. Banking as a whole has become an awful industry to work in. Large corporations still using old school tactics to bring in sales. Corporate yuppies don't understand that pounding pavement to attract sales is not an effective sales method. Furthermore, the manager is tied up in meetings all day that get in the way of managing, which leaves little time to get anything done. ",Stressful.,"{'label': 'POSITIVE', 'score': 0.6513941287994385}",6
3,Branch Manager,Former Employee,Florida,06/01/2022,2.0,"Stressful. Banking as a whole has become an awful industry to work in. Large corporations still using old school tactics to bring in sales. Corporate yuppies don't understand that pounding pavement to attract sales is not an effective sales method. Furthermore, the manager is tied up in meetings all day that get in the way of managing, which leaves little time to get anything done. ",Banking as a whole has become an awful industry to work in.,"{'label': 'NEGATIVE', 'score': 0.9995335340499878}",7
3,Branch Manager,Former Employee,Florida,06/01/2022,2.0,"Stressful. Banking as a whole has become an awful industry to work in. Large corporations still using old school tactics to bring in sales. Corporate yuppies don't understand that pounding pavement to attract sales is not an effective sales method. Furthermore, the manager is tied up in meetings all day that get in the way of managing, which leaves little time to get anything done. ",Large corporations still using old school tactics to bring in sales.,"{'label': 'NEGATIVE', 'score': 0.9892957806587219}",8
3,Branch Manager,Former Employee,Florida,06/01/2022,2.0,"Stressful. Banking as a whole has become an awful industry to work in. Large corporations still using old school tactics to bring in sales. Corporate yuppies don't understand that pounding pavement to attract sales is not an effective sales method. Furthermore, the manager is tied up in meetings all day that get in the way of managing, which leaves little time to get anything done. ",Corporate yuppies don't understand that pounding pavement to attract sales is not an effective sales method.,"{'label': 'NEGATIVE', 'score': 0.9997722506523132}",9
